ID,Lect_ID,Concept_ID,Form,Segments,Comment,Source
263,kabo1247,thirsty,dol(o) taʔata,d o l _ t a ʔ a t a,(taʔata ‘dry’),datasets_Kabola_Monbang_tsv
264,kabo1247,thirsty,dol(o) taʔata,d o l o _ t a ʔ a t a,(taʔata ‘dry’),datasets_Kabola_Monbang_tsv
265,kabo1247,hungry,om sili,o m _ s i l i,(om ‘inside’),datasets_Kabola_Monbang_tsv
266,kabo1247,blind,eɲʤa'haʔ,e ɲ dʒ a h a ʔ,,datasets_Kabola_Monbang_tsv
267,kabo1247,deaf,awel pəlaʔa,a w e l _ p ə l a ʔ a,,datasets_Kabola_Monbang_tsv
268,kabo1247,scared,baroitʲ,b a r o i tʲ,,datasets_Kabola_Monbang_tsv
269,kabo1247,angry,ekeriʔiŋ,e k e r i ʔ i ŋ,,datasets_Kabola_Monbang_tsv
270,kabo1247,to_see,edunu,e d u n u,,datasets_Kabola_Monbang_tsv
271,kabo1247,to_hear,me'ʔehe,m e ʔ e h e,,datasets_Kabola_Monbang_tsv
272,kabo1247,to_smell,a'muniŋ,a m u n i ŋ,,datasets_Kabola_Monbang_tsv
273,kabo1247,to_think,utunut,u t u n u t,,datasets_Kabola_Monbang_tsv
274,kabo1247,to_know,ʔel (we),ʔ e l,,datasets_Kabola_Monbang_tsv
275,kabo1247,to_know,ʔel (we),ʔ e l _ w e,,datasets_Kabola_Monbang_tsv
276,kabo1247,to_speak,motiŋ,m o t i ŋ,,datasets_Kabola_Monbang_tsv
277,kabo1247,to_lie_down,taʔara,t a ʔ a r a,,datasets_Kabola_Monbang_tsv
278,kabo1247,to_sleep,mopo,m o p o,,datasets_Kabola_Monbang_tsv
279,kabo1247,to_wake_up,to'hoʔ,t o h o ʔ,,datasets_Kabola_Monbang_tsv
280,kabo1247,to_wake_someone_up,aren tʊho,a r e n _ t ʊ h o,,datasets_Kabola_Monbang_tsv
281,kabo1247,to_bathe,tewili,t e w i l i,,datasets_Kabola_Monbang_tsv
282,kabo1247,to_bathe_a_child,a'wili,a w i l i,,datasets_Kabola_Monbang_tsv
283,kabo1247,to_sit,mihi,m i h i,,datasets_Kabola_Monbang_tsv
284,kabo1247,to_stand,toho mi,t o h o _ m i,,datasets_Kabola_Monbang_tsv
285,kabo1247,to_walk,laʔaw,l a ʔ a w,,datasets_Kabola_Monbang_tsv
